unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20165050425,"1715 GUADALUPE ST Austin, TX 78701",7,2016-12-07 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,1715 GUADALUPE ST,Theft,2016-12-06 00:00:00 UTC,3114544,10075208,2016,78701
20165036578,"1800 CONGRESS AVE Austin, TX 78701",7,2016-09-06 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,1800 CONGRESS AVE,Theft,2016-09-04 00:00:00 UTC,3115455,10075220,2016,78701
20165039951,"1800 CONGRESS AVE Austin, TX 78701",7,2016-11-01 00:00:00 UTC,Cleared by Arrest,1,THEFT FROM AUTO               ,B,1800 CONGRESS AVE,Theft,2016-09-27 00:00:00 UTC,3115455,10075220,2016,78701
20165033637,"1800 GUADALUPE ST Austin, TX 78701",7,2016-09-06 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1800 GUADALUPE ST,Theft,2016-08-15 00:00:00 UTC,3114422,10075458,2016,78701
20168005279,"1807 CONGRESS AVE Austin, TX 78701",7,2016-11-28 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,1807 CONGRESS AVE,Theft,2016-11-18 00:00:00 UTC,3115763,10075159,2016,78701
20153520858,"1811 GUADALUPE ST Austin, TX 78701",7,2015-12-20 00:00:00 UTC,Not cleared,9,AUTO THEFT                    ,B,1811 GUADALUPE ST,Auto Theft,2015-12-18 00:00:00 UTC,3114622,10075571,2015,78701
2015220733,"1814 GUADALUPE ST Austin, TX 78701",7,2015-01-23 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-01-22 00:00:00 UTC,3114477,10075615,2015,78701
2015701594,"1814 GUADALUPE ST Austin, TX 78701",7,2015-03-14 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-03-11 00:00:00 UTC,3114477,10075615,2015,78701
20151610424,"1814 GUADALUPE ST Austin, TX 78701",7,2015-06-10 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2015-06-10 00:00:00 UTC,3114477,10075615,2015,78701
20151762005,"1814 GUADALUPE ST Austin, TX 78701",7,2015-06-29 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-06-25 00:00:00 UTC,3114477,10075615,2015,78701
20155031165,"1814 GUADALUPE ST Austin, TX 78701",7,2015-07-21 00:00:00 UTC,Cleared by Arrest,9,THEFT OF BICYCLE              ,B,1814 GUADALUPE ST,Theft,2015-07-17 00:00:00 UTC,3114477,10075615,2015,78701
20155040821,"1814 GUADALUPE ST Austin, TX 78701",7,2015-09-21 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-09-15 00:00:00 UTC,3114477,10075615,2015,78701
20155054840,"1814 GUADALUPE ST Austin, TX 78701",7,2015-12-17 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-12-16 00:00:00 UTC,3114477,10075615,2015,78701
20153550053,"1814 GUADALUPE ST Austin, TX 78701",7,2015-12-26 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2015-12-21 00:00:00 UTC,3114477,10075615,2015,78701
20155056269,"1814 GUADALUPE ST Austin, TX 78701",7,2016-01-06 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2015-12-25 00:00:00 UTC,3114477,10075615,2015,78701
20165000197,"1814 GUADALUPE ST Austin, TX 78701",7,2016-01-15 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-01-02 00:00:00 UTC,3114477,10075615,2016,78701
2016450429,"1814 GUADALUPE ST Austin, TX 78701",7,2016-02-23 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2016-02-14 00:00:00 UTC,3114476,10075614,2016,78701
20165008454,"1814 GUADALUPE ST Austin, TX 78701",7,2016-03-01 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2016-02-28 00:00:00 UTC,3114476,10075614,2016,78701
2016790765,"1814 GUADALUPE ST Austin, TX 78701",7,2016-04-06 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-03-19 00:00:00 UTC,3114476,10075614,2016,78701
20161080577,"1814 GUADALUPE ST Austin, TX 78701",7,2016-04-26 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2016-04-17 00:00:00 UTC,3114476,10075614,2016,78701
20161290496,"1814 GUADALUPE ST Austin, TX 78701",7,2016-05-26 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-05-08 00:00:00 UTC,3114476,10075614,2016,78701
20161300277,"1814 GUADALUPE ST Austin, TX 78701",7,2016-05-18 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-05-09 00:00:00 UTC,3114476,10075614,2016,78701
20161591830,"1814 GUADALUPE ST Austin, TX 78701",7,2016-06-07 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-06-07 00:00:00 UTC,3114476,10075614,2016,78701
20161780371,"1814 GUADALUPE ST Austin, TX 78701",7,2016-06-28 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1814 GUADALUPE ST,Theft,2016-06-26 00:00:00 UTC,3114476,10075614,2016,78701
20161800350,"1814 GUADALUPE ST Austin, TX 78701",7,2016-06-29 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-06-28 00:00:00 UTC,3114476,10075614,2016,78701
20165032574,"1814 GUADALUPE ST Austin, TX 78701",7,2016-08-29 00:00:00 UTC,Cleared by Arrest,9,THEFT BY SHOPLIFTING          ,B,1814 GUADALUPE ST,Theft,2016-08-08 00:00:00 UTC,3114476,10075614,2016,78701
